StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_DuplicateRespondent,Q_BallotBoxStuffing,Q1,A,B,C1,C2,Q6_1,Q6_2,Q33_1,Q7,Q8,Q9_1,Q9_2,Q34_1,Q10,Q11,Q18_1,Q18_2,Q35_1,Q19,Q20,Q21_1,Q21_2,Q36_1,Q22,Q23,Q12_1,Q12_2,Q37_1,Q13,Q14,Q24_1,Q24_2,Q38_1,Q25,Q26,Q27_1,Q27_2,Q39_1,Q28,Q29,Q30_1,Q30_2,Q40_1,Q31,Q32,Q42_1,Q42_2,Q41_1,Q43,Q44,Q45_1,Q45_2,Q46_1,Q47,Q48,Q49_1,Q49_2,Q50_1,Q51,Q52,Q56_1,Q56_2,Q57_1,Q58,Q59,Q60_1,Q60_2,Q53_1,Q54,Q55,Q130_1,Q130_2,Q61_1,Q62,Q63,Q64_1,Q64_2,Q65_1,Q66,Q67,Q68_1,Q68_2,Q69_1,Q70,Q71,Q72_1,Q72_2,Q73_1,Q74,Q75,Q76_1,Q76_2,Q77_1,Q78,Q79,Q80_1,Q80_2,Q81_1,Q82,Q83,Q84_1,Q84_2,Q85_1,Q86,Q87,Q88_1,Q88_2,Q89_1,Q90,Q91,Q135_1,Q135_2,Q134_1,Q133,Q132,Q92_1,Q92_2,Q93_1,Q94,Q95,Q96_1,Q96_2,Q97_1,Q98,Q99,Q100_1,Q100_2,Q101_1,Q102,Q103,Q104_1,Q104_2,Q105_1,Q106,Q107,Q108_1,Q108_2,Q109_1,Q110,Q111,Q112_1,Q112_2,Q113_1,Q114,Q115,Q116_1,Q116_2,Q117_1,Q118,Q119,Q120_1,Q120_2,Q121_1,Q122,Q123,Q124_1,Q124_2,Q125_1,Q126,Q127,Q131,Q128,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_DuplicateRespondent,Q_BallotBoxStuffing,Which Foundations of Social Science module did you opt for?,[List A - Core] Can you please indicate if you enrolled in any of the courses below for the second semester of the first year?,[List B - Field] Can you please indicate if you enrolled in any of the courses below for the second semester of the first year?,[List C1 - Topics] Can you please indicate if you enrolled in any of the courses below for the second semester of the first year?,[List C2 - Other Topics & Methods] Can you please indicate if you enrolled in any of the courses below for the second semester of the first year?,Could you please answer the questions below about Advanced Microeconomics? - How difficult was the course on a scale from 1 to 5?,Could you please answer the questions below about Advanced Microeconomics? - How difficult was the exam on a scale from 1 to 5?,Could you please answer the question below about Advanced Microeconomics? - The exam was in line with what has been explained in class,Would you enrol in Advanced Microeconomics again?,When did you sit the exam for Advanced Microeconomics?,Could you please answer the questions below about Microeconometrics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Microeconometrics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Microeconometrics? - The exam was in line with what has been explained in class,Would you enrol in Microeconometrics again?,When did you sit the exam for Microeconometrics?,Could you please answer the questions below about Advanced Macroeconomics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Advanced Macroeconomics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Advanced Macroeconomics? - The exam was in line with what has been explained in class,Would you enrol in Advanced Macroeconomics again?,When did you sit the exam for Advanced Macroeconomics?,Could you please answer the questions below about Macroeconometrics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Macroeconometrics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Macroeconometrics? - The exam was in line with what has been explained in class,Would you enrol in Macroeconometrics again?,When did you sit the exam for Macroeconometrics?,Could you please answer the questions below about Development Economics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Development Economics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Development Economics? - The exam was in line with what has been explained in class,Would you enrol in Development Economics again?,When did you sit the exam for Development Economics?,Could you please answer the questions below about Game Theory: Analysis of Strategic Thinking? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Game Theory: Analysis of Strategic Thinking? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Game Theory: Analysis of Strategic Thinking? - The exam was in line with what has been explained in class,Would you enrol in Game Theory: Analysis of Strategic Thinking again?,When did you sit the exam for Game Theory: Analysis of Strategic Thinking?,Could you please answer the questions below about International Trade and Globalization? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about International Trade and Globalization? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about International Trade and Globalization? - The exam was in line with what has been explained in class,Would you enrol in International Trade and Globalization again?,When did you sit the exam for International Trade and Globalization?,Could you please answer the questions below about Labour Economics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Labour Economics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Labour Economics? - The exam was in line with what has been explained in class,Would you enrol in Labour Economics again?,When did you sit the exam for Labour Economics?,Could you please answer the questions below about Innovation and Economic Growth? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Innovation and Economic Growth? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Innovation and Economic Growth? - The exam was in line with what has been explained in class,Would you enrol in Innovation and Economic Growth again?,When did you sit the exam for Innovation and Economic Growth?,Could you please answer the questions below about International Macroeconomics and Finance? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about International Macroeconomics and Finance? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about International Macroeconomics and Finance? - The exam was in line with what has been explained in class,Would you enrol in International Macroeconomics and Finance again?,When did you sit the exam for International Macroeconomics and Finance?,Could you please answer the questions below about Empirical Industrial Organization and Market Design? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Empirical Industrial Organization and Market Design? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Empirical Industrial Organization and Market Design? - The exam was in line with what has been explained in class,Would you enrol in Empirical Industrial Organization and Market Design again?,When did you sit the exam for Empirical Industrial Organization and Market Design?,Could you please answer the questions below about Monetary Policy? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Monetary Policy? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Monetary Policy? - The exam was in line with what has been explained in class,Would you enrol in Monetary Policy again?,When did you sit the exam for Monetary Policy?,Could you please answer the questions below about Political Economics - Advanced? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Political Economics - Advanced? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Political Economics - Advanced? - The exam was in line with what has been explained in class,Would you enrol in Political Economics - Advanced again?,When did you sit the exam for Political Economics - Advanced?,Could you please answer the questions below about Public Economics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Public Economics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Public Economics? - The exam was in line with what has been explained in class,Would you enrol in Public Economics again?,When did you sit the exam for Public Economics?,Could you please answer the questions below about Economic Analysis of Crime? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Economic Analysis of Crime? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Economic Analysis of Crime? - The exam was in line with what has been explained in class,Would you enrol in Economic Analysis of Crime again?,When did you sit the exam for Economic Analysis of Crime?,Could you please answer the questions below about Economics of European Integration? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Economics of European Integration? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about Economics of European Integration? - The exam was in line with what has been explained in class,Would you enrol in Economics of European Integration again?,When did you sit the exam for Economics of European Integration?,Could you please answer the questions below about Energy Policy and Sustainability? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Energy Policy and Sustainability? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about  Energy Policy and Sustainability? - The exam was in line with what has been explained in class,Would you enrol in Energy Policy and Sustainability again?,When did you sit the exam for Energy Policy and Sustainability?,Could you please answer the questions below about Economics of Digital Markets? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Economics of Digital Markets? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Economics of Digital Markets? - The exam was in line with what has been explained in class,Would you enrol in Economics of Digital Markets again?,When did you sit the exam for Economics of Digital Markets?,Could you please answer the questions below about Monetary Policy and Financial Regulation? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Monetary Policy and Financial Regulation? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Monetary Policy and Financial Regulation? - The exam was in line with what has been explained in class,Would you enrol in Monetary Policy and Financial Regulation again?,When did you sit the exam for Monetary Policy and Financial Regulation?,Could you please answer the questions below about Principles of Finance? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Principles of Finance? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Principles of Finance? - The exam was in line with what has been explained in class,Would you enrol in Principles of Finance again?,When did you sit the exam for Principles of Finance?,Could you please answer the questions below about Welfare and Politics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Welfare and Politics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Welfare and Politics? - The exam was in line with what has been explained in class,Would you enrol in Welfare and Politics again?,When did you sit the exam for Welfare and Politics?,"Could you please answer the questions below about Taxation, Inequality and Growth? - How hard was the course on a scale from 1 to 5?","Could you please answer the questions below about Taxation, Inequality and Growth? - How hard was the exam on a scale from 1 to 5?","Could you please answer the question below about Taxation, Inequality and Growth? - The exam was in line with what has been explained in class","Would you enrol in Taxation, Inequality and Growth again?","When did you sit the exam for Taxation, Inequality and Growth?","Could you please answer the questions below about Globalization, Divergence, and Inequality in Historical Perspective? - How hard was the course on a scale from 1 to 5?","Could you please answer the questions below about Globalization, Divergence, and Inequality in Historical Perspective? - How hard was the exam on a scale from 1 to 5?","Could you please answer the question below about   Globalization, Divergence, and Inequality in Historical Perspective? - The exam was in line with what has been explained in class","Would you enrol in Globalization, Divergence, and Inequality in Historical Perspective again?","When did you sit the exam for Globalization, Divergence, and Inequality in Historical Perspective?","Could you please answer the questions below about History, Institutions and Crises of the Financial Global System? - How hard was the course on a scale from 1 to 5?","Could you please answer the questions below about History, Institutions and Crises of the Financial Global System? - How hard was the exam on a scale from 1 to 5?","Could you please answer the question below about   History, Institutions and Crises of the Financial Global System? - The exam was in line with what has been explained in class","Would you enrol in History, Institutions and Crises of the Financial Global System again?","When did you sit the exam for History, Institutions and Crises of the Financial Global System?",Could you please answer the questions below about Time Series Analysis of Economic and Financial Data? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Time Series Analysis of Economic and Financial Data? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Time Series Analysis of Economic and Financial Data? - The exam was in line with what has been explained in class,Would you enrol in Time Series Analysis of Economic and Financial Data again?,When did you sit the exam for Time Series Analysis of Economic and Financial Data?,Could you please answer the questions below about Comparative Politics: Institutions and Institutional Development? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Comparative Politics: Institutions and Institutional Development? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Comparative Politics: Institutions and Institutional Development? - The exam was in line with what has been explained in class,Would you enrol in Comparative Politics: Institutions and Institutional Development again?,When did you sit the exam for Comparative Politics: Institutions and Institutional Development?,Could you please answer the questions below about Population Dynamics and Economics? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Population Dynamics and Economics? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Population Dynamics and Economics? - The exam was in line with what has been explained in class,Would you enrol in Population Dynamics and Economics again?,When did you sit the exam for Population Dynamics and Economics?,Could you please answer the questions below about Bayesian Statistical Methods? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Bayesian Statistical Methods? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Bayesian Statistical Methods? - The exam was in line with what has been explained in class,Would you enrol in Bayesian Statistical Methods again?,When did you sit the exam for Bayesian Statistical Methods?,Could you please answer the questions below about Decision Theory and Human Behavior? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Decision Theory and Human Behavior? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Decision Theory and Human Behavior? - The exam was in line with what has been explained in class,Would you enrol in Decision Theory and Human Behavior again?,When did you sit the exam for Decision Theory and Human Behavior?,Could you please answer the questions below about Foundation of Social Sciences - Module II A? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Foundation of Social Sciences - Module II A? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Foundation of Social Sciences - Module II A? - The exam was in line with what has been explained in class,Would you enrol in Foundation of Social Sciences - Module II A?,When did you sit the exam for Foundation of Social Sciences - Module II A?,Could you please answer the questions below about Foundation of Social Sciences - Module II B? - How hard was the course on a scale from 1 to 5?,Could you please answer the questions below about Foundation of Social Sciences - Module II B? - How hard was the exam on a scale from 1 to 5?,Could you please answer the question below about   Foundation of Social Sciences - Module II B? - The exam was in line with what has been explained in class,Would you enrol in Foundation of Social Sciences - Module II B?,When did you sit the exam for Foundation of Social Sciences - Module II B?,"Did any course offer you specific benefits (for example in terms of guidance, internships or research opportunities…)?","If you have any suggestions, advice or comments, please leave them here: (all the help is really appreciated!!)",Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID2""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID130_2""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID68_2""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID76_2""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID80_2""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_2""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID133""}","{""ImportId"":""QID132""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID92_2""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID96_2""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID100_2""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID104_2""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID108_2""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID112_2""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID116_2""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID120_2""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID124_2""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""Q_DataPolicyViolations""}"
2024-11-05 16:02:34,2024-11-05 16:03:29,Survey Preview,,100,54,True,2024-11-05 16:03:30,R_2Uby8w29FHmnnoN,,,,,,,preview,EN,1,,,,,,,Module II A (Bee-Sancino),Advanced Microeconomics,,,20236 Time Series Analysis of Economic and Financial Data,Difficult,Somewhat difficult,,"No, but I would enrol in the second year",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-05 16:05:56,2024-11-05 16:07:20,Survey Preview,,100,84,True,2024-11-05 16:07:20,R_2pYgmWKvuuhnxrP,,,,,,,preview,EN,1,,,,,,,Module II A (Bee-Sancino),Advanced Microeconomics,20290	Game Theory: Analysis of Strategic Thinking,20847 Economics of Digital Markets,"20528	Globalization, Divergence, and Inequality in Historical Perspective",Somewhat difficult,Neither easy nor difficult,,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-03 19:39:12,2024-12-03 19:42:04,IP Address,,100,171,True,2024-12-03 19:42:05,R_8hR1FMyoeDEWzA7,,,,,,,anonymous,EN,0.8999999761581421,,0,0,,,,Module II B (Devillanova),Advanced Microeconomics,"20287 Development Economics,20294	Labour Economics",,20234 Population Dynamics and Economics,Difficult,Difficult,Strongly disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,,,,,,,,,,,,,,Neither easy nor difficult,Neither easy nor difficult,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,Somewhat difficult,Somewhat difficult,Somewhat disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Neither easy nor difficult,Neither agree nor disagree,"Yes, I would enrol again",N/A,,,,,,,,,,,,,,,,Somewhat easy,Neither easy nor difficult,Somewhat agree,"No, I would not enrol in the course at all",In the regular session in May/June,,,
2024-12-03 19:45:00,2024-12-03 19:47:56,IP Address,,100,175,True,2024-12-03 19:47:57,R_2npdO48sRECWsWt,,,,,,,anonymous,EN,1,,0,0,,,,Module II B (Devillanova),Microeconometrics,,,"20528	Globalization, Divergence, and Inequality in Historical Perspective",,,,,,Somewhat difficult,Difficult,Somewhat disagree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,Easy,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Somewhat easy,Somewhat agree,"Yes, I would enrol again",In the regular session in May/June,,,
2024-12-03 19:38:57,2024-12-03 19:48:45,IP Address,,100,587,True,2024-12-03 19:48:45,R_8CWcNhkDvvC85Sb,,,,,,,anonymous,EN,1,,0,0,,,,Module II A (Bee-Sancino),Microeconometrics,"20970 International Macroeconomics and Finance,20297 Monetary Policy",,"20236 Time Series Analysis of Economic and Financial Data,20234 Population Dynamics and Economics,20231 Bayesian Statistical Methods",,,,,,Difficult,Difficult,Strongly disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Neither easy nor difficult,Neither agree nor disagree,"Yes, I would enrol again",In the regular session in May/June,,,,,,Difficult,Somewhat difficult,Strongly disagree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Neither easy nor difficult,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,Somewhat difficult,Somewhat difficult,Neither agree nor disagree,"No, I would not enrol in the course at all",N/A,Somewhat difficult,Somewhat difficult,Somewhat agree,"Yes, I would enrol again",N/A,,,,,,Difficult,Difficult,Strongly disagree,"No, I would not enrol in the course at all",N/A,,,,,,,,
2024-12-03 19:45:47,2024-12-03 19:50:53,IP Address,,100,306,True,2024-12-03 19:50:54,R_8Du1nnZmWEgi7pK,,,,,,,anonymous,EN,1,,0,0,,,,Module II B (Devillanova),Microeconometrics,20271 Public Economics,20687	Economic Analysis of Crime,"20282	History, Institutions and Crises of the Financial Global System",,,,,,Somewhat difficult,Somewhat difficult,Neither agree nor disagree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Somewhat easy,Somewhat agree,"Yes, I would enrol again",In the regular session in May/June,Somewhat easy,Neither easy nor difficult,Somewhat agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Somewhat easy,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat difficult,Somewhat difficult,Somewhat disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,
2024-12-03 19:50:12,2024-12-03 19:52:40,IP Address,,100,147,True,2024-12-03 19:52:40,R_8p4tBPOSPmYYj5L,,,,,,,anonymous,EN,1,,0,0,,,,Module II A (Bee-Sancino),,,"20841	Monetary Policy and Financial Regulation,20258	Principles of Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Neither easy nor difficult,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,Neither easy nor difficult,Difficult,Strongly disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat easy,Somewhat difficult,Somewhat disagree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,
2024-12-03 19:52:06,2024-12-03 19:54:00,IP Address,,100,113,True,2024-12-03 19:54:00,R_2MPyS0juP4B8npz,,,,,,,anonymous,EN,1,,0,0,,,,Module II A (Bee-Sancino),Advanced Microeconomics,20842 International Trade and Globalization,,20236 Time Series Analysis of Economic and Financial Data,Difficult,Difficult,Somewhat disagree,"Yes, I would enrol again",In August,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat difficult,Somewhat difficult,Strongly agree,"Yes, I would enrol again",In August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither easy nor difficult,Somewhat difficult,Strongly disagree,"No, I would not enrol in the course at all",In the regular session in May/June,,,,,,,,,,,,,,,,,,,,,Easy,Easy,Strongly agree,"Yes, I would enrol again",In the regular session in May/June,,,,,,,,
